"","spec","VarPop","15-20cm","20-25cm","25-30cm","30-35cm","35-40cm","40-45cm","45-50cm","50-55cm","55-60cm","60-65cm","65-70cm","70-75cm",">75cm"
"1","White Sucker","General_adv_level","4","4","4","4","4","4","4","4","4","4",NA,NA,NA
"2","White Sucker","General_adv_cause","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","Mercury, PFAS","Mercury, PFAS",NA,NA,NA
"3","White Sucker","Sensitive_adv_level","4","4","4","4","4","4","4","4","0","0",NA,NA,NA
"4","White Sucker","Sensitive_adv_cause","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","PFAS","Mercury","Mercury",NA,NA,NA
"5","Brown Bullhead","General_adv_level","8","8","8","8","8",NA,NA,NA,NA,NA,NA,NA,NA
"6","Brown Bullhead","General_adv_cause","PFAS","PFAS","PFAS","PFAS","PFAS",NA,NA,NA,NA,NA,NA,NA,NA
"7","Brown Bullhead","Sensitive_adv_level","8","8","8","8","8",NA,NA,NA,NA,NA,NA,NA,NA
"8","Brown Bullhead","Sensitive_adv_cause","PFAS","PFAS","PFAS","PFAS","PFAS",NA,NA,NA,NA,NA,NA,NA,NA
"9","White Perch","General_adv_level","8","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","White Perch","General_adv_cause","Mercury","Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","White Perch","Sensitive_adv_level","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","White Perch","Sensitive_adv_cause","Mercury","Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Rock Bass","General_adv_level","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Rock Bass","General_adv_cause","PFAS","PFAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Rock Bass","Sensitive_adv_level","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Rock Bass","Sensitive_adv_cause","Mercury, PFAS","Mercury, PFAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
