"","spec","pop_id","pop_name","length_id","length_name","adv_level","adv_cause","restrictive"
"1","Northern Pike",1,"General",20,"20-25cm",32,"",FALSE
"2","Northern Pike",1,"General",25,"25-30cm",32,"",FALSE
"3","Northern Pike",1,"General",30,"30-35cm",16,"PCB",FALSE
"4","Northern Pike",1,"General",35,"35-40cm",16,"Mercury, PCB",FALSE
"5","Northern Pike",1,"General",40,"40-45cm",16,"Mercury, PCB",FALSE
"6","Northern Pike",1,"General",45,"45-50cm",16,"Mercury",FALSE
"7","Northern Pike",1,"General",50,"50-55cm",16,"Mercury",FALSE
"8","Northern Pike",1,"General",55,"55-60cm",16,"Mercury",FALSE
"9","Northern Pike",1,"General",60,"60-65cm",12,"Mercury",FALSE
"10","Northern Pike",1,"General",65,"65-70cm",8,"Mercury",TRUE
"11","Northern Pike",1,"General",70,"70-75cm",4,"Mercury",TRUE
"12","Northern Pike",1,"General",75,">75cm",4,"Mercury, PFAS",TRUE
"13","Northern Pike",2,"Sensitive",20,"20-25cm",16,"Mercury",FALSE
"14","Northern Pike",2,"Sensitive",25,"25-30cm",16,"Mercury",FALSE
"15","Northern Pike",2,"Sensitive",30,"30-35cm",16,"Mercury",FALSE
"16","Northern Pike",2,"Sensitive",35,"35-40cm",16,"Mercury",FALSE
"17","Northern Pike",2,"Sensitive",40,"40-45cm",12,"Mercury",FALSE
"18","Northern Pike",2,"Sensitive",45,"45-50cm",8,"Mercury",TRUE
"19","Northern Pike",2,"Sensitive",50,"50-55cm",8,"Mercury",TRUE
"20","Northern Pike",2,"Sensitive",55,"55-60cm",8,"Mercury",TRUE
"21","Northern Pike",2,"Sensitive",60,"60-65cm",4,"Mercury",TRUE
"22","Northern Pike",2,"Sensitive",65,"65-70cm",4,"Mercury",TRUE
"23","Northern Pike",2,"Sensitive",70,"70-75cm",0,"Mercury",TRUE
"24","Northern Pike",2,"Sensitive",75,">75cm",0,"Mercury",TRUE
"25","White Sucker",1,"General",15,"15-20cm",4,"PFAS",TRUE
"26","White Sucker",1,"General",20,"20-25cm",4,"PFAS",TRUE
"27","White Sucker",1,"General",25,"25-30cm",4,"PFAS",TRUE
"28","White Sucker",1,"General",30,"30-35cm",4,"PFAS",TRUE
"29","White Sucker",1,"General",35,"35-40cm",4,"PFAS",TRUE
"30","White Sucker",1,"General",40,"40-45cm",4,"PFAS",TRUE
"31","White Sucker",1,"General",45,"45-50cm",4,"PFAS",TRUE
"32","White Sucker",1,"General",50,"50-55cm",4,"PFAS",TRUE
"33","White Sucker",1,"General",55,"55-60cm",4,"Mercury, PFAS",TRUE
"34","White Sucker",1,"General",60,"60-65cm",4,"Mercury, PFAS",TRUE
"35","White Sucker",2,"Sensitive",15,"15-20cm",4,"PFAS",TRUE
"36","White Sucker",2,"Sensitive",20,"20-25cm",4,"PFAS",TRUE
"37","White Sucker",2,"Sensitive",25,"25-30cm",4,"PFAS",TRUE
"38","White Sucker",2,"Sensitive",30,"30-35cm",4,"PFAS",TRUE
"39","White Sucker",2,"Sensitive",35,"35-40cm",4,"PFAS",TRUE
"40","White Sucker",2,"Sensitive",40,"40-45cm",4,"PFAS",TRUE
"41","White Sucker",2,"Sensitive",45,"45-50cm",4,"PFAS",TRUE
"42","White Sucker",2,"Sensitive",50,"50-55cm",4,"PFAS",TRUE
"43","White Sucker",2,"Sensitive",55,"55-60cm",0,"Mercury",TRUE
"44","White Sucker",2,"Sensitive",60,"60-65cm",0,"Mercury",TRUE
"45","Fallfish",1,"General",25,"25-30cm",16,"Mercury, PCB",FALSE
"46","Fallfish",1,"General",30,"30-35cm",8,"PCB",TRUE
"47","Fallfish",1,"General",35,"35-40cm",4,"PCB",TRUE
"48","Fallfish",2,"Sensitive",25,"25-30cm",8,"Mercury",TRUE
"49","Fallfish",2,"Sensitive",30,"30-35cm",4,"Mercury",TRUE
"50","Fallfish",2,"Sensitive",35,"35-40cm",0,"Mercury",TRUE
"51","Brown Bullhead",1,"General",15,"15-20cm",8,"PFAS",TRUE
"52","Brown Bullhead",1,"General",20,"20-25cm",8,"PFAS",TRUE
"53","Brown Bullhead",1,"General",25,"25-30cm",8,"PFAS",TRUE
"54","Brown Bullhead",1,"General",30,"30-35cm",8,"PFAS",TRUE
"55","Brown Bullhead",1,"General",35,"35-40cm",8,"PFAS",TRUE
